NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.103	0.03	1.684	0.072	0.0	1.0	40000.0
2	0.404	0.004	0.234	0.01	0.0	1.0	50000.0
3	1.623	0.016	0.905	0.039	0.0	1.0	60000.0
4	0.023	0.0	0.011	0.001	0.0	1.0	30000.0
5	1.03	0.01	0.563	0.024	0.0	1.0	40000.0
6	0.126	0.001	0.077	0.003	0.0	1.0	40000.0
7	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
8	0.789	0.008	0.474	0.02	0.0	1.0	30000.0
9	2.41	0.023	1.53	0.065	0.0	1.0	30000.0
10	0.634	0.006	0.409	0.017	0.0	1.0	60000.0
11	0.151	0.002	0.088	0.004	0.0	1.0	20000.0
12	0.003	0.0	0.001	0.0	0.0	1.0	30000.0
13	0.003	0.0	0.002	0.0	0.0	1.0	20000.0
14	1.852	0.018	1.035	0.044	0.0	1.0	70000.0
15	0.005	0.0	0.003	0.0	0.0	1.0	30000.0
16	0.474	0.005	0.302	0.013	0.0	1.0	30000.0
17	3.616	0.035	1.668	0.071	0.0	1.0	50000.0
18	1.34	0.013	0.646	0.028	0.0	1.0	30000.0
19	1.907	0.018	1.067	0.045	0.0	1.0	50000.0
20	3.058	0.03	1.482	0.062	0.0	1.0	80000.0
21	1.818	0.018	0.823	0.035	0.0	1.0	80000.0
22	1.446	0.014	0.73	0.031	0.0	1.0	60000.0
23	2.029	0.02	0.991	0.042	0.0	1.0	40000.0
24	0.008	0.0	0.003	0.0	0.0	1.0	30000.0
25	2.415	0.023	1.276	0.054	0.0	1.0	100000.0
26	0.718	0.007	0.46	0.019	0.0	1.0	60000.0
27	0.663	0.006	0.36	0.015	0.0	1.0	30000.0
28	1.047	0.01	0.647	0.028	0.0	1.0	30000.0
29	0.017	0.0	0.011	0.001	0.0	1.0	30000.0
30	0.852	0.008	0.483	0.02	0.0	1.0	120000.0
31	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
32	0.775	0.007	0.474	0.02	0.0	1.0	20000.0
33	0.784	0.007	0.332	0.014	0.0	1.0	30000.0
34	1.21	0.012	0.661	0.028	0.0	1.0	40000.0
35	0.275	0.003	0.189	0.008	0.0	1.0	70000.0
36	0.003	0.0	0.002	0.0	0.0	1.0	30000.0
37	1.158	0.011	0.665	0.028	0.0	1.0	90000.0
38	2.333	0.023	1.158	0.049	0.0	1.0	50000.0
39	1.245	0.012	0.671	0.029	0.0	1.0	70000.0
40	0.019	0.0	0.01	0.0	0.0	1.0	30000.0
41	4.94	0.048	2.262	0.096	0.0	1.0	30000.0
42	0.197	0.002	0.138	0.006	0.0	1.0	40000.0
43	0.006	0.0	0.003	0.0	0.0	1.0	30000.0
44	1.363	0.013	0.653	0.027	0.0	1.0	70000.0
45	8.267	0.081	3.329	0.142	0.0	1.0	30000.0
46	0.562	0.005	0.331	0.014	0.0	1.0	40000.0
47	1.848	0.018	0.993	0.042	0.0	1.0	60000.0
48	0.084	0.001	0.05	0.002	0.0	1.0	20000.0
49	0.679	0.007	0.386	0.016	0.0	1.0	40000.0
50	2.694	0.027	1.257	0.053	0.0	1.0	50000.0
