NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	602.589	5.875	111.733	4.793	0.004	0.999	20000.0
2	682.535	6.66	124.513	5.278	0.005	0.998	20000.0
3	654.358	6.38	128.659	5.491	0.005	0.999	20000.0
4	585.101	5.711	107.238	4.586	0.004	0.999	20000.0
5	610.156	5.949	109.204	4.637	0.005	0.999	20000.0
6	641.556	6.256	127.338	5.417	0.005	0.999	20000.0
7	725.655	7.074	140.381	5.923	0.006	0.998	20000.0
8	602.147	5.866	97.458	4.135	0.005	0.999	20000.0
9	673.438	6.569	125.416	5.331	0.005	0.999	20000.0
10	679.28	6.621	120.055	5.116	0.005	0.998	20000.0
11	659.448	6.422	124.114	5.204	0.005	0.999	20000.0
12	556.146	5.422	96.192	4.108	0.004	0.999	20000.0
13	627.112	6.113	115.616	4.96	0.005	0.999	20000.0
14	717.493	6.998	134.146	5.703	0.005	0.998	20000.0
15	539.73	5.266	90.432	3.849	0.004	0.999	20000.0
16	654.575	6.383	119.608	5.105	0.005	0.999	20000.0
17	699.191	6.821	127.984	5.475	0.005	0.999	20000.0
18	592.256	5.773	105.237	4.497	0.004	0.999	20000.0
19	575.999	5.615	96.887	4.126	0.004	0.999	20000.0
20	647.578	6.313	114.989	4.863	0.005	0.998	20000.0
21	631.783	6.16	108.751	4.606	0.005	0.999	20000.0
22	676.169	6.593	132.772	5.628	0.005	0.998	20000.0
23	611.854	5.965	109.519	4.628	0.004	0.999	20000.0
24	633.827	6.176	126.058	5.352	0.004	0.999	20000.0
25	732.778	7.144	144.005	6.144	0.005	0.998	20000.0
26	628.317	6.125	114.925	4.88	0.004	0.999	20000.0
27	637.278	6.215	127.803	5.437	0.004	0.999	20000.0
28	635.8	6.198	107.973	4.603	0.005	0.999	20000.0
29	677.632	6.604	143.044	6.085	0.004	0.998	20000.0
30	704.024	6.864	127.466	5.373	0.005	0.998	20000.0
31	685.902	6.686	130.407	5.546	0.005	0.998	20000.0
32	608.705	5.936	108.695	4.621	0.005	0.999	20000.0
33	730.503	7.119	137.017	5.856	0.005	0.998	20000.0
34	636.882	6.211	131.494	5.581	0.004	0.998	20000.0
35	694.479	6.776	124.543	5.332	0.005	0.999	20000.0
36	633.682	6.179	120.155	5.085	0.004	0.999	20000.0
37	624.418	6.088	114.819	4.905	0.004	0.999	20000.0
38	650.25	6.341	122.231	5.185	0.005	0.998	20000.0
39	723.378	7.05	139.886	5.933	0.005	0.998	20000.0
40	612.635	5.975	114.307	4.832	0.004	0.999	20000.0
41	603.983	5.888	113.117	4.79	0.004	0.999	20000.0
42	646.724	6.305	117.281	5.009	0.004	0.999	20000.0
43	673.059	6.561	133.198	5.666	0.005	0.998	20000.0
44	663.081	6.462	121.31	5.121	0.005	0.999	20000.0
45	697.41	6.8	125.894	5.369	0.005	0.998	20000.0
46	705.331	6.883	142.66	6.032	0.005	0.998	20000.0
47	617.094	6.016	109.311	4.639	0.004	0.999	20000.0
48	657.426	6.411	113.455	4.819	0.005	0.999	20000.0
49	710.811	6.934	136.346	5.835	0.005	0.998	20000.0
50	709.637	6.926	128.338	5.422	0.005	0.998	30000.0
51	686.614	6.691	127.845	5.447	0.005	0.998	20000.0
52	693.424	6.759	127.41	5.409	0.005	0.999	20000.0
53	655.564	6.388	119.024	5.067	0.004	0.999	20000.0
54	720.086	7.019	142.805	6.065	0.005	0.998	20000.0
55	683.048	6.655	128.672	5.504	0.005	0.998	20000.0
56	633.163	6.17	117.317	5.019	0.004	0.999	20000.0
57	680.993	6.641	128.674	5.484	0.005	0.999	20000.0
58	662.72	6.459	120.865	5.133	0.005	0.999	20000.0
59	626.085	6.101	122.946	5.147	0.004	0.999	30000.0
60	654.587	6.381	129.827	5.513	0.005	0.999	20000.0
61	623.853	6.078	105.401	4.483	0.004	0.999	20000.0
62	637.452	6.214	106.062	4.485	0.006	0.999	20000.0
63	682.092	6.647	114.715	4.889	0.005	0.999	20000.0
