NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	223.488	7.245	33.4	5.689	0.006	0.997	20000.0
2	227.959	7.445	32.325	5.306	0.006	0.997	20000.0
3	215.321	6.985	32.145	5.302	0.006	0.998	40000.0
4	214.416	7.064	31.464	5.417	0.006	0.997	20000.0
5	215.249	7.017	30.641	5.166	0.006	0.998	20000.0
6	204.77	6.667	29.286	4.951	0.006	0.998	20000.0
7	220.061	7.246	34.878	6.08	0.007	0.997	30000.0
8	213.493	6.999	35.207	5.824	0.006	0.997	20000.0
9	198.417	6.493	29.751	5.051	0.005	0.998	20000.0
10	214.885	7.079	30.297	5.147	0.006	0.998	20000.0
11	196.923	6.482	28.217	4.838	0.005	0.998	30000.0
12	189.744	6.186	28.561	4.931	0.005	0.998	20000.0
13	216.841	7.092	36.733	6.302	0.005	0.998	20000.0
14	240.498	7.872	46.423	7.679	0.007	0.997	20000.0
15	212.123	6.885	30.885	5.136	0.005	0.998	20000.0
16	251.499	8.242	40.434	6.713	0.008	0.996	20000.0
17	179.347	5.898	25.514	4.353	0.006	0.998	20000.0
18	221.872	7.291	33.683	5.805	0.007	0.996	20000.0
19	233.708	7.701	34.585	5.93	0.007	0.997	20000.0
20	243.357	7.972	38.363	6.366	0.006	0.998	20000.0
21	191.779	6.223	28.842	4.878	0.006	0.998	20000.0
22	196.212	6.345	27.62	4.515	0.006	0.998	40000.0
23	188.85	6.163	28.798	4.839	0.005	0.998	20000.0
24	193.141	6.258	27.5	4.598	0.005	0.998	20000.0
25	202.991	6.651	29.542	4.939	0.006	0.998	20000.0
26	214.825	7.012	33.7	5.72	0.006	0.998	20000.0
27	218.622	7.201	31.758	5.466	0.006	0.998	30000.0
28	196.869	6.424	29.316	4.869	0.004	0.998	20000.0
29	233.893	7.619	38.039	6.365	0.006	0.997	30000.0
30	232.813	7.572	33.843	5.607	0.006	0.997	30000.0
31	217.407	7.052	31.984	5.386	0.006	0.997	30000.0
32	210.611	6.85	31.785	5.399	0.005	0.998	20000.0
33	223.125	7.284	33.867	5.736	0.006	0.997	20000.0
34	196.824	6.401	28.856	4.749	0.006	0.998	40000.0
35	196.063	6.414	28.695	4.871	0.006	0.998	20000.0
36	200.09	6.512	29.279	4.945	0.005	0.998	20000.0
37	195.064	6.322	31.821	5.316	0.004	0.997	20000.0
38	238.208	7.75	34.009	5.649	0.006	0.997	20000.0
39	214.42	6.984	30.985	5.142	0.005	0.998	20000.0
40	219.548	7.23	33.183	5.59	0.006	0.997	20000.0
41	212.38	6.959	34.205	5.832	0.006	0.997	20000.0
42	218.359	7.158	32.747	5.495	0.006	0.997	30000.0
43	178.417	5.811	26.357	4.38	0.004	0.998	70000.0
44	222.183	7.237	31.008	5.154	0.006	0.998	20000.0
45	219.094	7.213	33.903	5.831	0.007	0.997	30000.0
46	191.561	6.258	30.304	5.12	0.005	0.998	20000.0
47	263.697	8.613	42.235	7.176	0.008	0.996	40000.0
48	212.335	6.999	29.436	5.125	0.007	0.997	20000.0
49	218.833	7.114	32.845	5.541	0.006	0.997	20000.0
50	195.373	6.415	30.467	5.211	0.006	0.997	20000.0
51	203.351	6.591	31.864	5.414	0.005	0.997	20000.0
52	219.428	7.2	32.137	5.417	0.007	0.998	20000.0
53	221.07	7.28	30.733	5.189	0.006	0.997	20000.0
54	160.794	5.199	23.851	4.093	0.006	0.998	20000.0
55	210.15	6.892	33.819	5.606	0.006	0.998	20000.0
56	214.693	6.944	31.316	5.185	0.007	0.997	20000.0
57	211.803	6.868	30.469	5.179	0.006	0.998	20000.0
58	180.113	5.824	28.585	4.742	0.006	0.998	30000.0
59	185.52	6.098	29.146	4.915	0.005	0.997	20000.0
60	188.027	6.098	26.599	4.56	0.006	0.998	20000.0
61	239.991	7.83	34.523	5.886	0.007	0.997	30000.0
62	227.351	7.377	33.745	5.688	0.007	0.997	20000.0
63	221.137	7.283	31.768	5.397	0.006	0.998	20000.0
64	199.724	6.53	30.036	5.153	0.006	0.998	20000.0
65	212.577	7.003	30.121	5.214	0.005	0.998	30000.0
66	232.887	7.67	35.02	5.82	0.006	0.997	20000.0
67	203.699	6.709	30.295	5.145	0.006	0.998	30000.0
68	219.444	7.138	31.645	5.249	0.006	0.998	20000.0
69	208.959	6.795	30.941	5.173	0.006	0.998	60000.0
70	213.522	6.948	30.334	5.132	0.005	0.998	20000.0
71	220.947	7.182	31.542	5.391	0.006	0.997	20000.0
72	190.003	6.156	27.713	4.629	0.005	0.998	30000.0
73	196.125	6.46	29.483	4.954	0.005	0.998	30000.0
74	206.3	6.789	33.835	5.934	0.006	0.997	20000.0
75	232.3	7.655	33.569	5.826	0.007	0.997	30000.0
76	211.706	6.968	31.058	5.264	0.006	0.997	30000.0
77	231.917	7.499	36.112	5.955	0.008	0.996	40000.0
78	227.288	7.412	30.222	5.197	0.006	0.998	30000.0
79	223.199	7.305	33.455	5.701	0.006	0.997	20000.0
80	226.526	7.396	33.359	5.749	0.006	0.997	20000.0
81	226.478	7.459	33.548	5.608	0.007	0.998	30000.0
82	235.255	7.679	35.589	6.101	0.007	0.997	20000.0
83	252.579	8.273	38.523	6.465	0.007	0.996	30000.0
84	208.236	6.866	32.629	5.6	0.007	0.996	20000.0
85	259.686	8.469	38.197	6.606	0.008	0.996	20000.0
86	250.587	8.25	39.491	6.724	0.007	0.996	20000.0
87	195.826	6.394	31.02	5.122	0.005	0.998	20000.0
88	183.617	5.938	27.816	4.717	0.005	0.998	20000.0
89	231.4	7.579	35.734	6.053	0.007	0.997	20000.0
90	232.489	7.653	32.987	5.479	0.007	0.997	20000.0
91	199.627	6.581	30.284	5.173	0.007	0.997	20000.0
92	214.336	7.035	34.674	5.897	0.006	0.997	20000.0
93	232.159	7.615	34.174	5.762	0.007	0.997	20000.0
94	213.921	6.986	32.12	5.382	0.006	0.998	20000.0
95	205.541	6.691	32.194	5.433	0.005	0.998	30000.0
96	196.836	6.49	29.166	5.019	0.006	0.997	20000.0
97	211.265	6.933	32.423	5.571	0.006	0.997	20000.0
98	188.993	6.114	28.58	4.778	0.006	0.997	20000.0
99	208.986	6.889	34.375	5.794	0.007	0.997	40000.0
100	209.688	6.822	32.496	5.455	0.006	0.998	20000.0
101	253.985	8.321	38.999	6.526	0.008	0.997	20000.0
