NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2055.948	3.458	293.488	4.29	0.001	0.996	20000.0
2	2089.859	3.513	301.672	4.407	0.001	0.996	20000.0
3	2003.035	3.365	283.694	4.141	0.001	0.996	20000.0
4	1996.218	3.353	284.142	4.149	0.001	0.996	20000.0
5	2013.126	3.385	285.619	4.176	0.001	0.996	20000.0
6	2229.55	3.747	308.081	4.497	0.001	0.995	20000.0
7	1991.64	3.347	284.684	4.164	0.001	0.996	20000.0
8	2047.738	3.443	295.144	4.313	0.001	0.996	20000.0
9	2118.904	3.56	299.293	4.376	0.001	0.996	20000.0
10	1955.328	3.286	280.258	4.1	0.001	0.996	20000.0
11	2165.246	3.639	288.527	4.211	0.001	0.996	20000.0
12	2003.572	3.367	270.423	3.955	0.001	0.996	20000.0
13	2229.568	3.744	308.002	4.494	0.001	0.995	20000.0
14	2317.472	3.895	313.058	4.566	0.001	0.995	20000.0
15	1838.429	3.09	262.425	3.834	0.001	0.997	20000.0
16	2070.483	3.48	290.296	4.247	0.001	0.996	20000.0
17	2176.678	3.66	307.909	4.505	0.001	0.995	20000.0
18	1927.625	3.241	278.982	4.072	0.001	0.996	20000.0
19	2044.573	3.436	288.783	4.219	0.001	0.996	20000.0
20	2192.593	3.687	309.276	4.511	0.001	0.995	20000.0
21	1889.829	3.176	261.495	3.824	0.001	0.997	20000.0
22	1880.3	3.162	264.086	3.863	0.001	0.996	20000.0
23	2178.91	3.665	311.82	4.559	0.001	0.995	20000.0
24	2134.263	3.585	303.919	4.435	0.001	0.995	20000.0
25	2097.141	3.527	302.828	4.425	0.001	0.996	20000.0
26	1995.523	3.353	276.826	4.043	0.001	0.996	20000.0
27	2069.921	3.478	286.11	4.175	0.001	0.996	20000.0
28	2024.892	3.406	282.023	4.12	0.001	0.996	30000.0
29	2135.512	3.587	307.073	4.482	0.001	0.995	20000.0
30	2234.121	3.758	303.926	4.436	0.001	0.995	20000.0
31	2058.024	3.46	286.635	4.192	0.001	0.996	30000.0
32	2221.332	3.737	302.948	4.434	0.001	0.996	20000.0
33	2031.078	3.413	288.101	4.206	0.001	0.996	30000.0
34	1930.905	3.245	284.848	4.164	0.001	0.996	20000.0
35	1950.895	3.279	286.983	4.203	0.001	0.996	20000.0
36	2072.845	3.487	290.513	4.252	0.001	0.995	20000.0
37	2120.414	3.563	295.802	4.325	0.001	0.996	20000.0
38	2032.998	3.42	284.288	4.152	0.001	0.996	20000.0
39	2223.705	3.736	303.198	4.433	0.001	0.996	20000.0
40	2003.708	3.367	278.602	4.073	0.001	0.996	20000.0
41	2026.476	3.407	294.463	4.3	0.001	0.996	20000.0
42	2182.442	3.666	297.643	4.346	0.001	0.996	20000.0
43	2011.98	3.382	282.358	4.121	0.001	0.996	20000.0
44	2073.966	3.488	287.733	4.202	0.001	0.996	20000.0
45	2016.318	3.389	276.064	4.031	0.001	0.996	20000.0
46	2025.89	3.404	274.573	4.011	0.001	0.996	20000.0
47	1963.524	3.3	278.087	4.061	0.001	0.996	20000.0
48	1963.904	3.302	269.781	3.95	0.001	0.996	20000.0
49	1869.252	3.141	256.46	3.752	0.001	0.997	20000.0
50	1982.248	3.331	278.863	4.075	0.001	0.996	20000.0
51	1997.099	3.358	278.809	4.072	0.001	0.996	20000.0
52	2202.558	3.704	310.949	4.541	0.001	0.995	20000.0
53	2049.987	3.448	302.397	4.42	0.001	0.996	20000.0
54	2189.345	3.682	309.349	4.528	0.001	0.995	20000.0
55	2190.492	3.683	322.222	4.708	0.001	0.995	20000.0
56	2250.558	3.782	299.746	4.374	0.001	0.996	20000.0
57	2137.484	3.592	302.396	4.419	0.001	0.996	20000.0
58	2010.889	3.381	289.432	4.233	0.001	0.996	20000.0
59	2008.621	3.375	280.102	4.087	0.001	0.996	20000.0
60	2096.387	3.524	298.802	4.362	0.001	0.995	20000.0
61	2130.48	3.58	288.949	4.223	0.001	0.996	20000.0
62	2015.854	3.387	289.358	4.228	0.001	0.996	20000.0
63	2153.578	3.619	305.505	4.469	0.001	0.995	20000.0
