NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	381.885	12.51	58.775	9.918	0.015	0.994	20000.0
2	356.152	11.655	52.928	8.683	0.015	0.994	20000.0
3	387.11	12.68	56.256	9.461	0.015	0.993	20000.0
4	351.272	11.486	52.017	8.882	0.014	0.994	20000.0
5	359.092	11.762	53.208	8.962	0.014	0.994	30000.0
6	332.467	10.886	48.369	8.2	0.013	0.995	20000.0
7	374.973	12.255	57.914	9.994	0.015	0.992	20000.0
8	387.855	12.702	60.93	10.099	0.015	0.994	20000.0
9	327.016	10.706	49.205	8.313	0.012	0.995	20000.0
10	316.478	10.363	46.593	7.907	0.011	0.995	20000.0
11	337.727	11.048	48.104	8.253	0.013	0.995	20000.0
12	314.427	10.3	46.58	8.106	0.011	0.995	20000.0
13	324.925	10.64	50.514	8.737	0.011	0.995	20000.0
14	392.296	12.845	63.135	10.549	0.016	0.993	20000.0
15	351.945	11.532	52.993	8.92	0.013	0.994	20000.0
16	385.349	12.61	60.997	10.162	0.016	0.993	20000.0
17	351.655	11.512	51.045	8.607	0.014	0.995	20000.0
18	385.636	12.62	58.044	9.88	0.017	0.993	20000.0
19	357.836	11.709	53.193	9.08	0.014	0.994	20000.0
20	388.025	12.684	59.967	10.061	0.015	0.994	20000.0
21	339.025	11.099	50.738	8.665	0.014	0.994	20000.0
22	334.2	10.939	49.859	8.332	0.012	0.995	20000.0
23	345.282	11.311	51.059	8.611	0.013	0.994	30000.0
24	356.444	11.682	54.694	9.127	0.013	0.994	20000.0
25	358.262	11.732	52.362	8.781	0.015	0.994	20000.0
26	357.141	11.699	54.773	9.391	0.014	0.994	30000.0
27	346.458	11.333	51.36	8.734	0.012	0.994	20000.0
28	335.868	11.002	49.111	8.215	0.011	0.995	20000.0
29	367.147	12.026	58.021	9.898	0.013	0.994	20000.0
30	358.014	11.722	56.897	9.437	0.012	0.994	20000.0
31	374.718	12.283	55.453	9.434	0.015	0.993	20000.0
32	334.073	10.939	50.396	8.702	0.013	0.995	20000.0
33	360.611	11.804	54.345	9.282	0.015	0.993	20000.0
34	356.605	11.694	52.914	8.856	0.014	0.994	20000.0
35	334.894	10.96	49.796	8.483	0.013	0.995	20000.0
36	352.284	11.55	50.886	8.663	0.015	0.994	20000.0
37	353.964	11.602	56.599	9.64	0.012	0.993	20000.0
38	365.634	11.974	54.071	9.054	0.014	0.994	20000.0
39	363.175	11.9	51.782	8.707	0.014	0.994	20000.0
40	326.268	10.681	47.7	7.982	0.013	0.995	20000.0
41	360.64	11.8	54.379	9.213	0.014	0.993	20000.0
42	357.546	11.696	54.878	9.25	0.014	0.994	20000.0
43	310.737	10.187	46.592	7.82	0.012	0.995	20000.0
44	357.041	11.696	54.382	9.073	0.015	0.994	20000.0
45	337.343	11.048	51.337	8.852	0.013	0.994	30000.0
46	343.203	11.231	55.658	9.282	0.013	0.995	20000.0
47	412.426	13.5	62.267	10.691	0.017	0.992	20000.0
48	351.938	11.516	51.475	8.885	0.014	0.994	20000.0
49	357.238	11.694	54.194	9.244	0.013	0.994	20000.0
50	344.202	11.269	52.0	8.785	0.013	0.994	20000.0
51	344.922	11.298	52.63	8.939	0.012	0.994	20000.0
52	367.181	12.019	53.133	8.998	0.014	0.994	20000.0
53	357.137	11.681	53.583	8.903	0.014	0.995	20000.0
54	317.127	10.39	45.533	7.88	0.013	0.995	20000.0
55	381.312	12.479	62.831	10.582	0.014	0.993	20000.0
56	386.554	12.651	57.721	9.842	0.015	0.993	20000.0
57	357.08	11.7	51.859	8.878	0.014	0.994	20000.0
58	347.311	11.377	52.864	8.958	0.014	0.994	20000.0
59	353.258	11.561	56.563	9.769	0.011	0.994	20000.0
60	337.58	11.061	49.674	8.553	0.015	0.994	20000.0
61	370.762	12.139	54.082	9.254	0.014	0.993	20000.0
62	358.984	11.746	52.961	8.989	0.015	0.994	20000.0
63	332.044	10.868	49.218	8.288	0.013	0.995	20000.0
64	355.495	11.649	55.196	9.452	0.013	0.994	20000.0
65	319.186	10.45	45.527	7.873	0.011	0.995	20000.0
66	352.423	11.536	55.598	9.221	0.014	0.994	20000.0
67	355.141	11.606	57.673	9.75	0.013	0.994	20000.0
68	360.187	11.798	55.7	9.439	0.014	0.994	20000.0
69	355.587	11.65	52.809	8.897	0.013	0.994	20000.0
70	355.558	11.645	54.605	9.315	0.013	0.994	20000.0
71	352.279	11.542	51.555	8.858	0.014	0.994	20000.0
72	337.281	11.048	49.35	8.381	0.012	0.995	20000.0
73	312.995	10.239	45.397	7.578	0.012	0.996	20000.0
74	351.618	11.503	53.93	9.343	0.013	0.994	20000.0
75	380.81	12.454	56.242	9.607	0.015	0.993	20000.0
76	356.77	11.678	51.432	8.624	0.014	0.994	20000.0
77	406.104	13.293	59.899	9.918	0.018	0.993	20000.0
78	367.99	12.052	53.264	9.204	0.014	0.994	20000.0
79	356.325	11.667	53.737	9.133	0.015	0.994	20000.0
80	359.207	11.757	52.909	9.079	0.013	0.994	20000.0
81	361.45	11.824	54.765	9.136	0.015	0.994	20000.0
82	343.567	11.246	51.975	8.92	0.013	0.994	20000.0
83	380.981	12.469	56.566	9.463	0.015	0.994	20000.0
84	400.804	13.116	60.943	10.257	0.015	0.992	20000.0
85	380.96	12.467	56.377	9.765	0.017	0.993	20000.0
86	387.437	12.687	59.479	10.122	0.015	0.992	20000.0
87	326.267	10.691	49.369	8.201	0.013	0.995	20000.0
88	363.709	11.931	57.365	9.632	0.014	0.994	20000.0
89	393.525	12.879	57.912	9.893	0.015	0.993	20000.0
90	380.885	12.465	56.364	9.212	0.014	0.994	20000.0
91	388.814	12.718	57.959	9.983	0.016	0.993	20000.0
92	366.904	12.001	56.695	9.564	0.015	0.993	20000.0
93	374.906	12.273	54.866	9.224	0.015	0.994	20000.0
94	358.047	11.728	53.53	9.015	0.014	0.994	20000.0
95	336.037	11.009	50.827	8.693	0.012	0.994	20000.0
96	355.59	11.629	52.982	8.956	0.014	0.994	20000.0
97	370.474	12.126	57.109	9.737	0.015	0.994	30000.0
98	334.728	10.964	49.661	8.334	0.013	0.995	20000.0
99	384.219	12.566	59.98	10.174	0.015	0.993	20000.0
100	359.307	11.77	52.827	8.846	0.013	0.994	20000.0
101	392.177	12.847	58.503	9.817	0.017	0.993	20000.0
102	379.826	12.439	61.058	10.46	0.015	0.993	20000.0
103	388.769	12.742	57.381	9.638	0.018	0.993	20000.0
104	395.08	12.956	57.909	10.02	0.015	0.993	20000.0
105	363.44	11.889	59.086	10.097	0.014	0.993	20000.0
106	352.737	11.534	52.212	8.623	0.014	0.994	20000.0
107	357.609	11.715	53.54	9.137	0.015	0.994	20000.0
108	317.881	10.416	48.008	8.132	0.012	0.995	20000.0
109	341.849	11.183	51.356	8.585	0.013	0.995	30000.0
110	337.387	11.047	48.618	8.292	0.013	0.995	20000.0
111	366.224	11.99	56.105	9.475	0.014	0.994	20000.0
112	391.598	12.828	60.562	10.686	0.016	0.991	20000.0
113	341.043	11.168	50.358	8.7	0.013	0.994	20000.0
114	317.324	10.378	46.76	7.825	0.013	0.995	20000.0
115	349.602	11.443	52.079	8.607	0.013	0.995	20000.0
116	344.759	11.285	51.265	8.675	0.014	0.995	20000.0
117	356.723	11.668	56.099	9.438	0.012	0.994	20000.0
118	390.255	12.754	59.021	9.981	0.015	0.993	20000.0
119	364.793	11.935	52.021	9.052	0.015	0.994	20000.0
120	380.271	12.445	58.042	9.737	0.014	0.993	20000.0
121	336.316	11.0	51.739	8.913	0.011	0.995	20000.0
122	318.801	10.439	50.045	8.406	0.013	0.995	20000.0
123	360.739	11.797	53.743	9.131	0.013	0.994	20000.0
124	320.847	10.496	48.222	7.756	0.012	0.996	20000.0
