NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.197	0.0	0.081	0.001	0.0	1.0	20000.0
2	0.008	0.0	0.002	0.0	0.0	1.0	40000.0
3	0.804	0.001	0.418	0.006	0.0	1.0	20000.0
4	0.006	0.0	0.002	0.0	0.0	1.0	30000.0
5	0.005	0.0	0.002	0.0	0.0	1.0	20000.0
6	0.009	0.0	0.002	0.0	0.0	1.0	30000.0
7	0.008	0.0	0.003	0.0	0.0	1.0	30000.0
8	0.13	0.0	0.048	0.001	0.0	1.0	30000.0
9	0.015	0.0	0.008	0.0	0.0	1.0	20000.0
10	0.331	0.001	0.217	0.003	0.0	1.0	30000.0
11	0.002	0.0	0.001	0.0	0.0	1.0	30000.0
12	0.565	0.001	0.276	0.004	0.0	1.0	20000.0
13	0.572	0.001	0.208	0.003	0.0	1.0	20000.0
14	0.006	0.0	0.002	0.0	0.0	1.0	20000.0
15	0.551	0.001	0.246	0.003	0.0	1.0	30000.0
16	0.005	0.0	0.002	0.0	0.0	1.0	40000.0
17	0.003	0.0	0.001	0.0	0.0	1.0	20000.0
18	0.453	0.001	0.288	0.004	0.0	1.0	30000.0
19	2.212	0.004	0.952	0.014	0.0	1.0	30000.0
20	0.285	0.001	0.194	0.003	0.0	1.0	20000.0
21	0.005	0.0	0.001	0.0	0.0	1.0	20000.0
22	0.028	0.0	0.01	0.0	0.0	1.0	60000.0
23	0.019	0.0	0.006	0.0	0.0	1.0	40000.0
24	1.538	0.003	0.623	0.009	0.0	1.0	20000.0
25	0.004	0.0	0.001	0.0	0.0	1.0	20000.0
26	0.004	0.0	0.002	0.0	0.0	1.0	20000.0
27	0.398	0.001	0.19	0.003	0.0	1.0	20000.0
28	0.283	0.001	0.101	0.001	0.0	1.0	50000.0
29	0.016	0.0	0.004	0.0	0.0	1.0	30000.0
30	0.004	0.0	0.001	0.0	0.0	1.0	20000.0
31	0.019	0.0	0.007	0.0	0.0	1.0	30000.0
32	0.166	0.0	0.07	0.001	0.0	1.0	40000.0
33	0.005	0.0	0.002	0.0	0.0	1.0	20000.0
34	0.651	0.001	0.435	0.006	0.0	1.0	20000.0
35	0.013	0.0	0.005	0.0	0.0	1.0	20000.0
36	0.658	0.001	0.257	0.004	0.0	1.0	30000.0
37	0.004	0.0	0.001	0.0	0.0	1.0	20000.0
38	0.002	0.0	0.001	0.0	0.0	1.0	30000.0
39	1.165	0.002	0.635	0.009	0.0	1.0	30000.0
40	0.006	0.0	0.002	0.0	0.0	1.0	40000.0
41	0.004	0.0	0.001	0.0	0.0	1.0	20000.0
42	0.007	0.0	0.003	0.0	0.0	1.0	20000.0
43	0.074	0.0	0.029	0.0	0.0	1.0	30000.0
44	0.379	0.001	0.151	0.002	0.0	1.0	30000.0
45	0.196	0.0	0.066	0.001	0.0	1.0	40000.0
46	0.194	0.0	0.076	0.001	0.0	1.0	50000.0
47	0.888	0.001	0.377	0.005	0.0	1.0	20000.0
48	0.025	0.0	0.009	0.0	0.0	1.0	20000.0
49	0.007	0.0	0.002	0.0	0.0	1.0	20000.0
50	1.269	0.002	0.627	0.009	0.0	1.0	30000.0
51	2.071	0.003	1.359	0.02	0.0	1.0	20000.0
52	0.33	0.001	0.16	0.002	0.0	1.0	30000.0
53	0.002	0.0	0.0	0.0	0.0	1.0	30000.0
54	0.002	0.0	0.001	0.0	0.0	1.0	20000.0
55	0.003	0.0	0.001	0.0	0.0	1.0	30000.0
56	0.66	0.001	0.344	0.005	0.0	1.0	30000.0
57	0.007	0.0	0.003	0.0	0.0	1.0	40000.0
58	1.294	0.002	0.498	0.007	0.0	1.0	20000.0
59	0.201	0.0	0.071	0.001	0.0	1.0	20000.0
60	0.006	0.0	0.002	0.0	0.0	1.0	30000.0
61	0.011	0.0	0.003	0.0	0.0	1.0	30000.0
62	0.006	0.0	0.002	0.0	0.0	1.0	40000.0
63	0.052	0.0	0.019	0.0	0.0	1.0	20000.0
64	0.003	0.0	0.001	0.0	0.0	1.0	20000.0
65	0.007	0.0	0.003	0.0	0.0	1.0	20000.0
66	0.479	0.001	0.322	0.005	0.0	1.0	20000.0
67	0.186	0.0	0.077	0.001	0.0	1.0	30000.0
68	0.004	0.0	0.001	0.0	0.0	1.0	30000.0
69	0.005	0.0	0.002	0.0	0.0	1.0	30000.0
70	0.001	0.0	0.0	0.0	0.0	1.0	20000.0
71	1.795	0.003	1.079	0.016	0.0	1.0	40000.0
72	0.022	0.0	0.008	0.0	0.0	1.0	30000.0
73	0.006	0.0	0.003	0.0	0.0	1.0	30000.0
74	1.02	0.002	0.493	0.007	0.0	1.0	30000.0
75	1.135	0.002	0.665	0.009	0.0	1.0	20000.0
76	0.009	0.0	0.002	0.0	0.0	1.0	30000.0
77	0.005	0.0	0.002	0.0	0.0	1.0	40000.0
78	0.048	0.0	0.018	0.0	0.0	1.0	40000.0
79	0.052	0.0	0.03	0.0	0.0	1.0	20000.0
80	0.014	0.0	0.004	0.0	0.0	1.0	30000.0
81	0.006	0.0	0.002	0.0	0.0	1.0	20000.0
82	0.005	0.0	0.001	0.0	0.0	1.0	30000.0
83	0.365	0.0	0.221	0.003	0.0	1.0	30000.0
84	0.51	0.001	0.206	0.003	0.0	1.0	20000.0
85	0.004	0.0	0.002	0.0	0.0	1.0	20000.0
86	0.004	0.0	0.001	0.0	0.0	1.0	20000.0
87	0.889	0.001	0.594	0.009	0.0	1.0	30000.0
88	0.007	0.0	0.003	0.0	0.0	1.0	30000.0
89	0.006	0.0	0.002	0.0	0.0	1.0	20000.0
90	0.042	0.0	0.02	0.0	0.0	1.0	30000.0
91	0.001	0.0	0.0	0.0	0.0	1.0	20000.0
92	0.076	0.0	0.026	0.0	0.0	1.0	30000.0
93	0.75	0.001	0.384	0.006	0.0	1.0	30000.0
94	0.774	0.001	0.349	0.005	0.0	1.0	40000.0
95	0.485	0.001	0.265	0.004	0.0	1.0	30000.0
96	0.02	0.0	0.006	0.0	0.0	1.0	20000.0
97	0.011	0.0	0.004	0.0	0.0	1.0	30000.0
98	1.622	0.002	0.689	0.01	0.0	1.0	30000.0
99	0.442	0.001	0.166	0.003	0.0	1.0	30000.0
100	0.135	0.0	0.047	0.001	0.0	1.0	20000.0
101	1.702	0.003	1.151	0.017	0.0	1.0	30000.0
102	0.943	0.002	0.364	0.005	0.0	1.0	50000.0
103	0.008	0.0	0.002	0.0	0.0	1.0	30000.0
104	0.043	0.0	0.017	0.0	0.0	1.0	30000.0
